epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6345.81,0.97894,3.29134,1.28647,1.33522,0.66533,0.47544,0.51392,0.41359,0.69674,0.41836,0.44574,0.32843,1.03068,3.6823,1.49494,1.33748,0.0011884,0.0011884,0.0011884
60,6452.77,0.97595,3.27775,1.2796,1.33274,0.73345,0.4857,0.53265,0.42695,0.71807,0.4427,0.45775,0.3341,1.00254,3.66158,1.42877,1.30135,0.00118015,0.00118015,0.00118015
61,6559.95,0.95277,3.22531,1.25049,1.30619,0.72236,0.483,0.51679,0.41574,0.67425,0.44621,0.4518,0.33781,1.07496,3.74026,1.50021,1.34013,0.0011719,0.0011719,0.0011719
62,6666.87,0.95746,3.265,1.26453,1.32289,0.71607,0.50615,0.52941,0.42431,0.6848,0.46473,0.46203,0.34173,1.05151,3.59593,1.49705,1.32985,0.00116365,0.00116365,0.00116365
63,6773.87,0.95347,3.15683,1.23583,1.32086,0.71297,0.49983,0.53179,0.42468,0.67765,0.45829,0.4634,0.3413,1.01988,3.69002,1.45379,1.32184,0.0011554,0.0011554,0.0011554
64,6880.75,0.94893,3.23379,1.25834,1.316,0.68108,0.50545,0.52736,0.42067,0.67827,0.45973,0.45779,0.33144,1.01638,3.68897,1.45485,1.32034,0.00114715,0.00114715,0.00114715
65,6987.63,0.9399,3.18693,1.24173,1.30622,0.73025,0.48596,0.53091,0.42298,0.69487,0.45446,0.46909,0.35149,1.04615,3.65339,1.46527,1.3304,0.00113889,0.00113889,0.00113889
66,7094.9,0.9568,3.16227,1.23944,1.31179,0.6481,0.49414,0.5141,0.41526,0.62878,0.44131,0.4411,0.33106,1.04326,3.73851,1.48519,1.31941,0.00113064,0.00113064,0.00113064
67,7201.82,0.94925,3.20004,1.22774,1.30808,0.71185,0.48649,0.51877,0.42299,0.66161,0.43667,0.43471,0.30942,1.0351,3.6878,1.47124,1.31449,0.00112239,0.00112239,0.00112239
68,7308.8,0.94301,3.20116,1.22944,1.31803,0.72085,0.50526,0.5349,0.43232,0.67104,0.45929,0.46641,0.34809,1.00563,3.64981,1.4096,1.30716,0.00111414,0.00111414,0.00111414
69,7416.09,0.93641,3.22002,1.22545,1.31057,0.67999,0.49667,0.51346,0.4264,0.65355,0.44239,0.44009,0.3303,0.99256,3.67595,1.48098,1.29424,0.00110589,0.00110589,0.00110589
70,7523.01,0.91984,3.15409,1.19285,1.28891,0.67743,0.51405,0.54129,0.43709,0.64581,0.48217,0.4767,0.35176,0.98014,3.6563,1.41674,1.29105,0.00109764,0.00109764,0.00109764
71,7630.31,0.93326,3.15389,1.20824,1.29594,0.70629,0.48513,0.51804,0.41294,0.69587,0.44744,0.45763,0.34255,1.04007,3.65409,1.48589,1.33426,0.00108938,0.00108938,0.00108938
72,7737.25,0.92256,3.1469,1.19804,1.29141,0.73761,0.4786,0.51378,0.41752,0.68023,0.43701,0.43899,0.31902,1.01862,3.74381,1.45599,1.32708,0.00108113,0.00108113,0.00108113
73,7844.16,0.92954,3.1302,1.19322,1.29322,0.71261,0.48605,0.52288,0.42629,0.67185,0.45727,0.45806,0.34526,0.98932,3.68989,1.47441,1.28836,0.00107288,0.00107288,0.00107288
74,7951,0.92242,3.13953,1.18371,1.29279,0.69629,0.49904,0.5299,0.42947,0.67468,0.4585,0.45472,0.33391,1.00877,3.6913,1.42128,1.30057,0.00106463,0.00106463,0.00106463
75,8057.98,0.9191,3.1111,1.17926,1.28896,0.69697,0.49193,0.527,0.42276,0.66943,0.45446,0.46765,0.34359,0.99586,3.79404,1.40514,1.3035,0.00105638,0.00105638,0.00105638
76,8164.88,0.92461,3.15918,1.19567,1.2914,0.7322,0.47465,0.51119,0.41972,0.67388,0.42005,0.42408,0.31044,1.00274,3.64437,1.47421,1.29782,0.00104813,0.00104813,0.00104813
77,8271.7,0.91862,3.09298,1.17219,1.2841,0.7048,0.49667,0.53298,0.43564,0.6756,0.44384,0.45733,0.33499,1.00535,3.63634,1.41805,1.29999,0.00103987,0.00103987,0.00103987
78,8378.47,0.90623,3.11061,1.14783,1.27318,0.68496,0.48991,0.53279,0.42805,0.6446,0.45941,0.46977,0.34841,1.02555,3.73043,1.42887,1.31562,0.00103162,0.00103162,0.00103162
