epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,5822.85,0.86239,1.03643,1.22969,0.67812,0.50684,0.52558,0.42906,1.03076,1.4466,1.32268,0.00103162,0.00103162,0.00103162
79,5898.2,0.86508,1.05922,1.22926,0.68743,0.53672,0.54252,0.43804,1.04555,1.42585,1.32399,0.00102337,0.00102337,0.00102337
80,5973.12,0.84559,1.02538,1.22541,0.75818,0.49386,0.55079,0.44091,1.03554,1.39374,1.31991,0.00101512,0.00101512,0.00101512
81,6048.05,0.85144,1.03047,1.22958,0.77402,0.48719,0.55348,0.44754,1.01929,1.42676,1.32911,0.00100687,0.00100687,0.00100687
82,6123.43,0.8408,1.00942,1.22301,0.70817,0.49639,0.54302,0.435,1.03138,1.43339,1.31427,0.000998616,0.000998616,0.000998616
83,6198.18,0.84502,1.00048,1.21674,0.72336,0.50062,0.52364,0.42765,1.02163,1.45841,1.31596,0.000990365,0.000990365,0.000990365
84,6273.93,0.83616,0.99493,1.21154,0.7759,0.47376,0.51977,0.42671,0.97712,1.48756,1.29429,0.000982113,0.000982113,0.000982113
85,6468.06,0.83275,0.99717,1.2181,0.70236,0.50982,0.54904,0.44458,1.01432,1.46731,1.29856,0.000973861,0.000973861,0.000973861
86,6545.91,0.81324,0.96212,1.19884,0.75935,0.49802,0.55479,0.45186,1.01517,1.38558,1.31252,0.00096561,0.00096561,0.00096561
87,6621.21,0.81082,0.96528,1.20072,0.67199,0.51803,0.55464,0.44721,0.99434,1.41269,1.30375,0.000957358,0.000957358,0.000957358
88,6696.1,0.81716,0.97388,1.20769,0.73305,0.52679,0.55092,0.44571,1.01538,1.41971,1.31757,0.000949106,0.000949106,0.000949106
89,6770.88,0.82455,0.97074,1.20882,0.70213,0.49721,0.52652,0.42675,1.00934,1.47148,1.31786,0.000940855,0.000940855,0.000940855
